UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715020,Estados Unidos,1,181
Bahia,Aeroporto Internacional de Guarulhos,84715020,Polônia,1,275
Ceará,Aeroporto Internacional de Fortaleza,84715010,Estados Unidos,2,548
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,1,154
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715020,Estados Unidos,1,1048
Pernambuco,Aeroporto Internacional do Recife,84715010,Suíça,1,195
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,2,382
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,1,42
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Hong Kong,30,485
Bahia,Aeroporto Internacional de Viracopos,84715010,Reino Unido,3,115
Paraíba,Aeroporto Internacional do Recife,84715010,China,10,4049
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,China,4,3
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Malásia,4,200
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Suíça,12,134
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Áustria,6,226
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,4,39
Bahia,Aeroporto Internacional de Guarulhos,84715010,Eslováquia,1,49
Bahia,Aeroporto Internacional de Viracopos,84715010,China,5,893
Bahia,Aeroporto Internacional de Viracopos,84715020,Estados Unidos,1,294
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,16
Bahia,Aeroporto Internacional de Viracopos,84715010,China,2,190
Bahia,Aeroporto Internacional de Viracopos,84715010,Itália,1,345
Ceará,Aeroporto Internacional de Fortaleza,84715020,Estados Unidos,1,380
Paraíba,Aeroporto Internacional do Recife,84715010,China,17,9402
Paraíba,Aeroporto Internacional do Recife,84715010,Estados Unidos,13,46
Pernambuco,Aeroporto Internacional do Recife,84715010,México,70,668
Bahia,Aeroporto Internacional de Viracopos,84715010,China,4,2235
Pernambuco,Aeroporto Internacional do Recife,84715010,Hungria,1,186
Bahia,Aeroporto Internacional de Guarulhos,84715010,China,27,16501
Bahia,Aeroporto Internacional de Viracopos,84715010,China,6,334
Bahia,Aeroporto Internacional de Viracopos,84715010,Japão,1,160
Paraíba,Aeroporto Internacional do Recife,84715010,China,16,194
Pernambuco,Aeroporto Internacional do Recife,84715010,Alemanha,1,150
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Itália,5000,496
Alagoas,Aeroporto Internacional de Guarulhos,84715010,China,1,0
Ceará,Aeroporto Internacional de Fortaleza,84715010,Estados Unidos,1,3
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,4,158
Bahia,Aeroporto Internacional de Salvador,84715010,China,15,664
Bahia,Aeroporto Internacional de Guarulhos,84715010,Polônia,12,1188
Bahia,Aeroporto Internacional de Guarulhos,84715010,Taiwan (Formosa),1,49
Bahia,Aeroporto Internacional de Viracopos,84715010,Taiwan (Formosa),5,360
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,1,92
Paraíba,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,159
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,3,266
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,293
Ceará,Aeroporto Internacional de Fortaleza,84715030,Polônia,1,672
Paraíba,Aeroporto Internacional do Recife,84715010,China,1,35
Paraíba,Aeroporto Internacional do Recife,84715010,México,1,309
Paraíba,Aeroporto Internacional de Viracopos,84715010,China,1,332
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,2,346
Bahia,Aeroporto Internacional de Florianópolis,84715010,Tailândia,1,388
Pernambuco,Aeroporto Internacional do Recife,84715010,China,29,1901
Pernambuco,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),4,233
Alagoas,Aeroporto Internacional de Viracopos,84715010,China,1,17
Bahia,Aeroporto Internacional de Salvador,84715020,Países Baixos (Holanda),1,1072
Ceará,Aeroporto Internacional de Fortaleza,84715010,Espanha,1,373
Ceará,Aeroporto Internacional de Fortaleza,84715010,Áustria,1,250
Ceará,Aeroporto Internacional de Viracopos,84715010,Polônia,1,651
Pernambuco,Aeroporto Internacional do Recife,84715010,China,4,6
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Áustria,1,237
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Taiwan (Formosa),1,27
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,2,140
Bahia,Aeroporto Internacional de Salvador,84715010,França,6,642
Bahia,Aeroporto Internacional de Salvador,84715010,Tailândia,1,169
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,2,22
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,42,485
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Austrália,1,907
Maranhão,Aeroporto Internacional de Guarulhos,84715020,Austrália,1,1734
Paraíba,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,1504
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,29
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,14,288
Pernambuco,Aeroporto Internacional do Recife,84715010,México,6,3100
Bahia,Aeroporto Internacional de Salvador,84715010,Polônia,1,460
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,68,811
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),2,19
Alagoas,Aeroporto Internacional do Recife,84715010,Alemanha,1,499
